Step,Reward,Smoothed,Trendline_1000,Trendline_10000
67,-20,-17.370000000000005,-8.529539999999999,-61.89596099999998
68,-20,-17.600000000000005,-8.558339999999998,-61.91899299999998
69,-20,-17.830000000000005,-8.587239999999998,-61.94202699999998
70,-20,-18.04,-8.61624,-61.96506299999998
71,-21,-18.25,-8.64534,-61.98810099999998
72,-21,-18.459999999999997,-8.67454,-62.01114099999998
73,-21,-18.659999999999997,-8.70384,-62.03418299999998
74,-21,-18.86,-8.733229999999999,-62.057226999999976
75,-23,-19.060000000000002,-8.76269,-62.08027299999998
76,-23,-19.230000000000004,-8.792219999999999,-62.10332099999998
77,-23,-19.380000000000003,-8.82181,-62.12637099999998
78,-23,-19.53,-8.85145,-62.149422999999985
79,-23,-19.680000000000003,-8.88113,-62.17247699999998
80,-23,-19.830000000000005,-8.91085,-62.195532999999976
81,-23,-19.980000000000004,-8.94061,-62.218590999999975
82,-23,-20.130000000000003,-8.970410000000001,-62.241650999999976
83,-23,-20.28,-9.000240000000002,-62.26471299999998
84,-23,-20.430000000000003,-9.030090000000001,-62.28777699999998
85,-23,-20.580000000000005,-9.05995,-62.31084299999998
86,-23,-20.710000000000004,-9.089809999999998,-62.33390999999998
87,-24,-20.83,-9.11967,-62.356977999999984
88,-24,-20.95,-9.149529999999999,-62.380046999999976
89,-24,-21.07,-9.179389999999998,-62.40311699999998
90,-24,-21.189999999999998,-9.209249999999997,-62.42618699999998
91,-25,-21.289999999999996,-9.239099999999997,-62.449256999999974
92,-26,-21.38,-9.268939999999997,-62.47232699999998
93,-27,-21.44,-9.298749999999997,-62.49539699999998
94,-27,-21.48,-9.328519999999996,-62.51846699999997
95,-27,-21.52,-9.358249999999996,-62.54153699999998
96,-27,-21.56,-9.387939999999999,-62.56460699999998
97,-27,-21.589999999999996,-9.417580000000001,-62.58767699999998
98,-27,-21.609999999999996,-9.447170000000002,-62.610746999999975
99,-27,-21.629999999999995,-9.476710000000002,-62.63381699999998
100,-27,-21.65,-9.506190000000002,-62.656886999999976
101,-28,-21.67,-9.535610000000002,-62.67995699999997
102,-28,-21.669999999999998,-9.564970000000004,-62.70302699999998
103,-28,-21.669999999999995,-9.594250000000004,-62.72609699999998
104,-27,-21.659999999999993,-9.623440000000002,-62.74916699999998
105,-27,-21.639999999999993,-9.65253,-62.772236999999976
106,-27,-21.619999999999997,-9.681510000000001,-62.79530699999998
107,-26,-21.6,-9.710360000000001,-62.818376999999984
108,-27,-21.57,-9.739080000000001,-62.84144699999998
109,-27,-21.529999999999998,-9.767660000000001,-62.86451699999998
110,-27,-21.49,-9.796100000000001,-62.887586999999975
111,-27,-21.45,-9.824399999999999,-62.91065699999997
112,-28,-21.369999999999997,-9.852569999999998,-62.933726999999976
113,-28,-21.28,-9.880609999999999,-62.95679699999998
114,-28,-21.2,-9.90852,-62.97986699999998
115,-27,-21.110000000000003,-9.936300000000001,-63.002936999999974
116,-27,-21.020000000000003,-9.96395,-63.02600699999998
117,-26,-20.930000000000003,-9.991470000000001,-63.04907699999997
118,-26,-20.830000000000005,-10.018850000000002,-63.07214699999997
119,-24,-20.720000000000002,-10.046090000000003,-63.09521699999998
120,-24,-20.61,-10.073180000000002,-63.118286999999974
121,-24,-20.5,-10.100120000000002,-63.14135699999997
122,-23,-20.38,-10.12691,-63.164426999999975
123,-23,-20.259999999999998,-10.153550000000001,-63.18749699999998
124,-23,-20.14,-10.180050000000003,-63.210566999999976
125,-23,-20.02,-10.206410000000002,-63.23363699999997
126,-21,-19.869999999999997,-10.232630000000002,-63.25670699999998
127,-21,-19.709999999999997,-10.25871,-63.279776999999974
128,-21,-19.549999999999997,-10.284640000000003,-63.30284699999998
129,-21,-19.39,-10.310420000000002,-63.325916999999976
130,-21,-19.220000000000002,-10.33605,-63.34898699999997
131,-21,-19.049999999999997,-10.36153,-63.37205699999997
132,-21,-18.88,-10.386870000000002,-63.395126999999974
133,-21,-18.719999999999995,-10.41207,-63.41819699999998
134,-21,-18.56,-10.43714,-63.441266999999975
135,-20,-18.41,-10.46208,-63.46433699999997
136,-20,-18.259999999999998,-10.486889999999999,-63.487406999999976
137,-20,-18.109999999999996,-10.51157,-63.51047699999998
138,-20,-17.949999999999996,-10.53612,-63.53354699999998
139,-20,-17.789999999999992,-10.56053,-63.556616999999974
140,-18,-17.629999999999995,-10.584790000000002,-63.57968699999998
141,-17,-17.459999999999994,-10.60891,-63.602756999999976
142,-16,-17.279999999999998,-10.6329,-63.62582699999997
143,-15,-17.09,-10.65677,-63.64889699999998
144,-15,-16.9,-10.68053,-63.671966999999974
145,-15,-16.709999999999997,-10.70418,-63.69503699999997
146,-15,-16.519999999999996,-10.72772,-63.718106999999975
147,-14,-16.329999999999995,-10.75116,-63.74117699999997
148,-14,-16.139999999999997,-10.774510000000001,-63.76424699999997
149,-14,-15.95,-10.797770000000003,-63.78731699999997
150,-14,-15.76,-10.820940000000002,-63.81038699999997
151,-13,-15.57,-10.844020000000002,-63.83345699999997
152,-13,-15.370000000000001,-10.867010000000004,-63.85652699999997
153,-13,-15.17,-10.889920000000004,-63.879596999999976
154,-12,-14.969999999999999,-10.912750000000004,-63.90266699999997
155,-12,-14.78,-10.935510000000003,-63.92573699999997
156,-12,-14.59,-10.958200000000001,-63.948806999999974
157,-12,-14.399999999999999,-10.980830000000001,-63.97187699999997
158,-11,-14.219999999999999,-11.00341,-63.99494699999997
159,-11,-14.029999999999998,-11.02594,-64.01801699999997
160,-11,-13.85,-11.04843,-64.04108699999998
161,-10,-13.669999999999998,-11.070879999999999,-64.06415699999997
162,-10,-13.489999999999998,-11.09329,-64.08722699999997
163,-11,-13.299999999999997,-11.11566,-64.11029699999997
164,-10,-13.109999999999998,-11.137989999999999,-64.13336699999998
165,-10,-12.919999999999998,-11.16029,-64.15643699999998
166,-10,-12.739999999999997,-11.18257,-64.17950699999997
167,-10,-12.559999999999997,-11.20483,-64.20257699999996
168,-9,-12.389999999999997,-11.22707,-64.22564699999997
169,-9,-12.229999999999997,-11.2493,-64.24871699999997
170,-9,-12.089999999999996,-11.27153,-64.27178699999997
171,-9,-11.949999999999996,-11.29376,-64.29485699999998
172,-9,-11.809999999999997,-11.315990000000001,-64.31792699999997
173,-9,-11.679999999999998,-11.338220000000002,-64.34099699999997
174,-9,-11.549999999999997,-11.36045,-64.36406699999998
175,-8,-11.419999999999996,-11.382680000000004,-64.38713699999997
176,-7,-11.289999999999997,-11.404920000000004,-64.41020699999996
177,-7,-11.179999999999998,-11.427170000000002,-64.43327699999998
178,-7,-11.069999999999997,-11.449430000000001,-64.45634699999997
179,-6,-10.959999999999997,-11.471710000000002,-64.47941699999998
180,-6,-10.849999999999998,-11.49401,-64.50248699999997
181,-6,-10.739999999999998,-11.51633,-64.52555699999996
182,-7,-10.629999999999999,-11.53867,-64.54862699999997
183,-7,-10.519999999999998,-11.56103,-64.57169699999997
184,-8,-10.409999999999998,-11.58343,-64.59476699999996
185,-8,-10.299999999999999,-11.605879999999999,-64.61783699999998
186,-8,-10.2,-11.62839,-64.64090699999997
187,-8,-10.09,-11.650960000000001,-64.66397699999996
188,-8,-9.98,-11.67359,-64.68704699999998
189,-8,-9.87,-11.69628,-64.71011699999997
190,-7,-9.770000000000001,-11.71903,-64.73318699999997
191,-7,-9.690000000000001,-11.74185,-64.75625699999998
192,-7,-9.62,-11.76474,-64.77932699999997
193,-8,-9.559999999999999,-11.7877,-64.80239699999997
194,-8,-9.51,-11.81073,-64.82546699999997
195,-8,-9.46,-11.83383,-64.84853699999996
196,-8,-9.41,-11.857000000000001,-64.87160699999998
197,-8,-9.36,-11.880239999999999,-64.89467699999997
198,-8,-9.32,-11.90355,-64.91774699999998
199,-8,-9.28,-11.926929999999999,-64.94081699999998
200,-8,-9.239999999999998,-11.95038,-64.96388699999997
201,-8,-9.209999999999999,-11.9739,-64.98695699999996
202,-8,-9.19,-11.99749,-65.01002699999997
203,-8,-9.16,-12.02115,-65.03309699999997
204,-8,-9.129999999999999,-12.04488,-65.05616699999997
205,-8,-9.119999999999997,-12.06869,-65.07923699999998
206,-8,-9.109999999999998,-12.092589999999998,-65.10230699999997
207,-8,-9.099999999999998,-12.11659,-65.12537699999997
208,-8,-9.089999999999998,-12.140690000000001,-65.14844699999998
209,-9,-9.089999999999998,-12.164890000000002,-65.17151699999997
210,-9,-9.089999999999998,-12.189190000000002,-65.19458699999996
211,-9,-9.089999999999998,-12.213590000000002,-65.21765699999997
212,-9,-9.099999999999998,-12.23808,-65.24072699999996
213,-9,-9.119999999999997,-12.262660000000002,-65.26379699999998
214,-9,-9.129999999999997,-12.287330000000004,-65.28686699999997
215,-9,-9.149999999999997,-12.312090000000003,-65.30993699999996
216,-9,-9.169999999999996,-12.336940000000002,-65.33300699999997
217,-9,-9.179999999999998,-12.361880000000003,-65.35607699999997
218,-10,-9.189999999999998,-12.386920000000003,-65.37914699999996
219,-10,-9.209999999999999,-12.412060000000004,-65.40221699999995
220,-10,-9.229999999999997,-12.437300000000004,-65.42528699999997
221,-10,-9.249999999999998,-12.462640000000004,-65.44835699999996
222,-10,-9.269999999999998,-12.488080000000004,-65.47142699999998
223,-10,-9.299999999999997,-12.513620000000001,-65.49449699999997
224,-10,-9.329999999999997,-12.53925,-65.51756699999996
225,-10,-9.359999999999998,-12.564969999999999,-65.54063699999996
226,-10,-9.399999999999999,-12.590779999999999,-65.56370699999997
227,-10,-9.449999999999998,-12.616679999999999,-65.58677699999996
228,-10,-9.499999999999996,-12.642669999999999,-65.60984699999997
229,-10,-9.549999999999997,-12.66875,-65.63291699999996
230,-10,-9.599999999999996,-12.69492,-65.65598699999997
231,-10,-9.639999999999997,-12.72118,-65.67905699999997
232,-10,-9.679999999999998,-12.747530000000001,-65.70212699999996
233,-10,-9.709999999999999,-12.773970000000002,-65.72519699999995
234,-10,-9.739999999999998,-12.800500000000003,-65.74826699999996
235,-10,-9.759999999999998,-12.827120000000003,-65.77133699999996
236,-9,-9.789999999999997,-12.85383,-65.79440699999996
237,-9,-9.819999999999997,-12.88063,-65.81747699999997
238,-9,-9.849999999999996,-12.90752,-65.84054699999996
239,-10,-9.879999999999997,-12.9345,-65.86361699999996
240,-10,-9.909999999999997,-12.96157,-65.88668699999997
241,-10,-9.949999999999998,-12.988729999999999,-65.90975699999996
242,-10,-9.989999999999997,-13.015979999999999,-65.93282699999996
243,-10,-10.029999999999998,-13.043309999999998,-65.95589699999996
244,-10,-10.049999999999997,-13.070709999999998,-65.97896699999997
245,-10,-10.069999999999997,-13.09818,-66.00203699999997
246,-10,-10.089999999999998,-13.12572,-66.02510699999996
247,-10,-10.109999999999998,-13.153329999999999,-66.04817699999995
248,-10,-10.129999999999999,-13.18101,-66.07124699999996
249,-10,-10.149999999999999,-13.208759999999998,-66.09431699999996
250,-11,-10.169999999999998,-13.236579999999996,-66.11738699999997
251,-11,-10.189999999999998,-13.264469999999998,-66.14045699999997
252,-10,-10.209999999999999,-13.29243,-66.16352699999996
253,-10,-10.229999999999999,-13.320459999999999,-66.18659699999996
254,-11,-10.249999999999998,-13.348559999999999,-66.20966699999997
255,-11,-10.269999999999998,-13.376729999999998,-66.23273699999996
256,-11,-10.29,-13.404969999999999,-66.25580799999996
257,-11,-10.309999999999999,-13.43328,-66.27887999999996
258,-11,-10.329999999999998,-13.461649999999999,-66.30195299999997
259,-11,-10.349999999999998,-13.49008,-66.32502699999998
260,-11,-10.36,-13.51856,-66.34810199999997
261,-11,-10.37,-13.54709,-66.37117799999996
262,-12,-10.379999999999999,-13.57567,-66.39425499999996
263,-12,-10.389999999999999,-13.604300000000002,-66.41733299999997
264,-12,-10.399999999999999,-13.63298,-66.44041199999998
265,-12,-10.409999999999998,-13.66171,-66.46349199999997
266,-11,-10.419999999999998,-13.690489999999999,-66.48657299999996
267,-11,-10.429999999999998,-13.719319999999996,-66.50965499999997
268,-11,-10.439999999999998,-13.748199999999999,-66.53273799999997
269,-11,-10.439999999999998,-13.77713,-66.55582199999996
270,-11,-10.439999999999998,-13.806099999999999,-66.57890799999996
271,-11,-10.439999999999998,-13.835109999999998,-66.60199599999996
272,-12,-10.439999999999998,-13.864159999999998,-66.62508599999997
273,-12,-10.439999999999998,-13.893249999999998,-66.64817799999997
274,-12,-10.439999999999998,-13.92238,-66.67127199999996
275,-12,-10.439999999999998,-13.951550000000001,-66.69436799999997
276,-12,-10.439999999999998,-13.980749999999999,-66.71746699999997
277,-12,-10.439999999999998,-14.009979999999999,-66.74056899999997
278,-12,-10.439999999999998,-14.039240000000001,-66.76367499999996
279,-11,-10.439999999999998,-14.06853,-66.78678499999995
280,-10,-10.439999999999998,-14.097850000000003,-66.80989999999996
281,-10,-10.439999999999998,-14.127200000000002,-66.83301999999996
282,-10,-10.439999999999998,-14.156580000000002,-66.85614499999997
283,-10,-10.439999999999998,-14.185990000000002,-66.87927499999995
284,-10,-10.439999999999998,-14.215420000000002,-66.90240999999996
285,-11,-10.439999999999998,-14.244870000000002,-66.92554999999996
286,-11,-10.439999999999998,-14.27434,-66.94869499999996
287,-11,-10.45,-14.303830000000001,-66.97184499999996
288,-11,-10.459999999999999,-14.333340000000003,-66.99499999999996
289,-11,-10.469999999999999,-14.362870000000003,-67.01815999999997
290,-11,-10.469999999999999,-14.392420000000003,-67.04132499999997
291,-11,-10.469999999999999,-14.421980000000001,-67.06449499999997
292,-11,-10.469999999999999,-14.451550000000003,-67.08766999999997
293,-10,-10.469999999999999,-14.481130000000002,-67.11084999999997
294,-10,-10.469999999999999,-14.510720000000003,-67.13403499999997
295,-10,-10.469999999999999,-14.540320000000001,-67.15722599999997
296,-10,-10.469999999999999,-14.569930000000001,-67.18042299999996
297,-10,-10.469999999999999,-14.59955,-67.20362599999996
298,-10,-10.469999999999999,-14.62918,-67.22683499999997
299,-10,-10.469999999999999,-14.65882,-67.25004999999996
300,-10,-10.469999999999999,-14.68847,-67.27327199999996
301,-10,-10.459999999999997,-14.71813,-67.29650099999995
302,-10,-10.45,-14.7478,-67.31973699999996
303,-10,-10.45,-14.77748,-67.34297999999995
304,-10,-10.449999999999998,-14.807170000000001,-67.36623099999996
305,-10,-10.439999999999998,-14.836870000000001,-67.38948999999997
306,-10,-10.429999999999998,-14.866570000000003,-67.41275699999997
307,-10,-10.419999999999998,-14.896270000000001,-67.43603199999995
308,-10,-10.409999999999998,-14.925970000000001,-67.45931499999998
309,-10,-10.399999999999999,-14.955670000000001,-67.48260599999998
310,-10,-10.389999999999999,-14.985370000000001,-67.50590499999996
311,-10,-10.379999999999999,-15.015070000000001,-67.52921199999996
312,-10,-10.369999999999997,-15.044770000000002,-67.55252699999996
313,-10,-10.349999999999998,-15.074470000000002,-67.57584999999996
314,-10,-10.329999999999998,-15.10417,-67.59918099999996
315,-10,-10.309999999999999,-15.133870000000002,-67.62251999999995
316,-10,-10.289999999999997,-15.163570000000002,-67.64586699999995
317,-10,-10.279999999999998,-15.193270000000002,-67.66922199999996
318,-10,-10.27,-15.22297,-67.69258499999997
319,-10,-10.259999999999998,-15.252670000000002,-67.71595599999996
320,-10,-10.249999999999998,-15.282370000000002,-67.73933499999997
321,-10,-10.239999999999998,-15.312070000000002,-67.76272199999997
322,-10,-10.229999999999999,-15.34177,-67.78611699999996
323,-10,-10.209999999999999,-15.371470000000002,-67.80951999999996
324,-10,-10.189999999999998,-15.401170000000002,-67.83293199999996
325,-10,-10.169999999999998,-15.430870000000002,-67.85635299999996
326,-10,-10.149999999999999,-15.46057,-67.87978399999997
327,-10,-10.129999999999997,-15.490270000000002,-67.90322499999996
328,-10,-10.109999999999998,-15.519970000000002,-67.92667599999996
329,-10,-10.089999999999998,-15.549670000000003,-67.95013699999996
330,-10,-10.079999999999998,-15.57937,-67.97360799999996
331,-10,-10.079999999999998,-15.609070000000003,-67.99708999999996
332,-10,-10.079999999999998,-15.638770000000003,-68.02058299999996
333,-10,-10.079999999999998,-15.668470000000003,-68.04408699999996
334,-10,-10.079999999999998,-15.698170000000001,-68.06760199999997
335,-10,-10.079999999999998,-15.727870000000003,-68.09112799999997
336,-10,-10.069999999999999,-15.757570000000001,-68.11466499999996
337,-10,-10.059999999999999,-15.787270000000001,-68.13821299999996
338,-10,-10.049999999999999,-15.816970000000001,-68.16177199999996
339,-10,-10.04,-15.846670000000003,-68.18534199999996
340,-10,-10.03,-15.876370000000001,-68.20892299999997
341,-10,-10.02,-15.906070000000001,-68.23251499999996
342,-10,-10.009999999999998,-15.935770000000002,-68.25611799999997
343,-10,-9.999999999999998,-15.96547,-68.27973199999997
344,-10,-9.999999999999998,-15.995170000000002,-68.30335699999996
345,-10,-9.999999999999998,-16.02487,-68.32699299999997
346,-10,-9.999999999999998,-16.054570000000002,-68.35063999999997
347,-10,-9.999999999999998,-16.08427,-68.37429799999997
348,-10,-9.999999999999998,-16.113970000000002,-68.39796699999997
349,-10,-9.999999999999998,-16.14367,-68.42164699999996
350,-10,-9.999999999999998,-16.173370000000002,-68.44533899999996
351,-10,-9.999999999999998,-16.20307,-68.46904299999997
352,-10,-9.999999999999998,-16.23277,-68.49275899999996
353,-10,-9.999999999999998,-16.26247,-68.51648699999997
354,-10,-9.999999999999998,-16.29217,-68.54022699999996
355,-10,-9.999999999999998,-16.32187,-68.56397899999996
356,-10,-9.999999999999998,-16.351570000000002,-68.58774199999996
357,-10,-9.999999999999998,-16.38127,-68.61151599999997
358,-10,-9.999999999999998,-16.41097,-68.63530099999997
359,-10,-9.999999999999998,-16.44067,-68.65909699999996
360,-10,-9.999999999999998,-16.470370000000003,-68.68290399999997
361,-10,-9.999999999999998,-16.50007,-68.70672199999997
362,-10,-9.999999999999998,-16.52977,-68.73055099999996
363,-10,-9.999999999999998,-16.55947,-68.75439199999995
364,-10,-9.999999999999998,-16.589170000000003,-68.77824499999996
365,-10,-9.999999999999998,-16.61887,-68.80210999999997
366,-10,-9.999999999999998,-16.64857,-68.82598699999997
367,-10,-9.999999999999998,-16.67827,-68.84987599999997
368,-10,-9.999999999999998,-16.707970000000003,-68.87377699999996
369,-10,-9.999999999999998,-16.73767,-68.89768999999995
370,-10,-9.999999999999998,-16.76737,-68.92161399999996
371,-10,-9.999999999999998,-16.79707,-68.94554899999996
372,-10,-9.999999999999998,-16.826770000000003,-68.96949499999997
373,-10,-9.999999999999998,-16.85647,-68.99345199999996
374,-10,-9.999999999999998,-16.88617,-69.01741999999997
375,-10,-9.999999999999998,-16.91587,-69.04139899999997
376,-10,-9.999999999999998,-16.945570000000004,-69.06538799999996
377,-10,-9.999999999999998,-16.975270000000002,-69.08938699999996
378,-10,-9.999999999999998,-17.00497,-69.11339499999997
379,-10,-9.999999999999998,-17.034670000000002,-69.13741199999996
380,-10,-9.999999999999998,-17.064370000000004,-69.16143699999996
381,-10,-9.999999999999998,-17.094070000000002,-69.18546999999995
382,-10,-9.999999999999998,-17.12377,-69.20951099999996
383,-10,-9.999999999999998,-17.153470000000002,-69.23355999999997
384,-10,-9.999999999999998,-17.183170000000004,-69.25761699999995
385,-10,-9.999999999999998,-17.212870000000002,-69.28168199999996
386,-10,-9.999999999999998,-17.24257,-69.30575499999998
387,-10,-9.999999999999998,-17.272270000000002,-69.32983599999997
388,-10,-9.999999999999998,-17.301970000000004,-69.35392499999998
389,-10,-9.999999999999998,-17.331670000000003,-69.37802199999996
390,-10,-9.999999999999998,-17.36137,-69.40212699999996
391,-10,-9.999999999999998,-17.391070000000003,-69.42623999999996
392,-10,-9.999999999999998,-17.420770000000005,-69.45036099999996
393,-10,-9.999999999999998,-17.450470000000003,-69.47448999999996
394,-10,-9.999999999999998,-17.48017,-69.49862699999997
395,-10,-9.999999999999998,-17.509870000000003,-69.52277099999996
396,-10,-9.999999999999998,-17.539570000000005,-69.54692199999997
397,-10,-9.999999999999998,-17.569270000000003,-69.57107999999997
398,-10,-9.999999999999998,-17.59897,-69.59524499999996
399,-10,-9.999999999999998,-17.628670000000003,-69.61941699999997
400,-10,-9.999999999999998,-17.658370000000005,-69.64359499999996
401,-10,-9.999999999999998,-17.688070000000003,-69.66777799999996
402,-10,-9.999999999999998,-17.71777,-69.69196599999997
403,-10,-9.999999999999998,-17.74747,-69.71615899999996
404,-10,-9.999999999999998,-17.777169999999998,-69.74035599999996
405,-10,-9.999999999999998,-17.80687,-69.76455699999997
406,-10,-9.999999999999998,-17.836570000000002,-69.78876199999996
407,-10,-9.999999999999998,-17.86627,-69.81297099999996
408,-10,-9.999999999999998,-17.895970000000002,-69.83718399999997
409,-10,-9.999999999999998,-17.925670000000004,-69.86140099999997
410,-10,-9.999999999999998,-17.955370000000002,-69.88562199999996
411,-10,-9.999999999999998,-17.98507,-69.90984699999996
412,-10,-9.999999999999998,-18.01477,-69.93407599999996
413,-10,-9.999999999999998,-18.04447,-69.95830899999996
414,-10,-9.999999999999998,-18.074170000000002,-69.98254599999996
415,-10,-9.999999999999998,-18.10387,-70.00678699999997
416,-10,-9.999999999999998,-18.133570000000002,-70.03103199999997
417,-10,-9.999999999999998,-18.163270000000004,-70.05528099999997
418,-10,-9.999999999999998,-18.192970000000003,-70.07953399999997
419,-10,-9.999999999999998,-18.22267,-70.10379099999997
420,-10,-9.999999999999998,-18.25237,-70.12805199999997
421,-10,-9.999999999999998,-18.28207,-70.15231699999997
422,-10,-9.999999999999998,-18.311770000000003,-70.17658499999997
423,-10,-9.999999999999998,-18.34147,-70.20085599999997
424,-10,-9.999999999999998,-18.371170000000003,-70.22512899999997
425,-10,-9.999999999999998,-18.400870000000005,-70.24940399999997
426,-10,-9.999999999999998,-18.430570000000003,-70.27367999999997
427,-10,-9.999999999999998,-18.46027,-70.29795699999997
428,-10,-9.999999999999998,-18.48997,-70.32223499999998
429,-10,-9.999999999999998,-18.51969,-70.34651399999997
430,-10,-9.999999999999998,-18.54943,-70.37079399999996
431,-10,-9.999999999999998,-18.57919,-70.39507399999997
432,-10,-9.999999999999998,-18.608970000000003,-70.41935399999997
433,-10,-9.999999999999998,-18.638770000000005,-70.44363399999997
434,-10,-9.999999999999998,-18.668590000000002,-70.46791399999998
435,-10,-9.999999999999998,-18.69843,-70.49219399999997
436,-10,-9.999999999999998,-18.728299999999997,-70.51647399999996
437,-10,-9.999999999999998,-18.75822,-70.54075399999996
438,-10,-9.999999999999998,-18.788190000000004,-70.56503399999997
439,-10,-9.999999999999998,-18.81821,-70.58931399999997
440,-10,-9.999999999999998,-18.84828,-70.61359399999998
441,-10,-9.999999999999998,-18.878399999999996,-70.63787399999997
442,-10,-9.999999999999998,-18.908569999999997,-70.66215399999996
443,-10,-9.999999999999998,-18.9388,-70.68643399999996
444,-10,-9.999999999999998,-18.96909,-70.71071399999997
445,-10,-9.999999999999998,-18.99944,-70.73499399999997
446,-10,-9.999999999999998,-19.029850000000003,-70.75927399999998
447,-10,-9.999999999999998,-19.060330000000004,-70.78355399999997
448,-10,-10.019999999999998,-19.090880000000002,-70.80783399999996
449,-10,-10.039999999999997,-19.121510000000008,-70.83211399999996
450,-10,-10.069999999999999,-19.152220000000007,-70.85639399999997
451,-10,-10.1,-19.183010000000007,-70.88067499999997
452,-10,-10.130000000000003,-19.213880000000007,-70.90495699999997
453,-10,-10.160000000000004,-19.244830000000007,-70.92923999999996
454,-10,-10.190000000000003,-19.27587,-70.95352399999996
455,-10,-10.220000000000002,-19.307000000000002,-70.97780899999997
456,-10,-10.280000000000001,-19.338230000000003,-71.00209499999997
457,-10,-10.34,-19.36956,-71.02638199999997
458,-10,-10.4,-19.401,-71.05066999999997
459,-10,-10.46,-19.43255,-71.07495899999998
460,-10,-10.52,-19.46422,-71.09924899999997
461,-10,-10.58,-19.496010000000002,-71.12353999999996
462,-10,-10.64,-19.52792,-71.14783199999997
463,-10,-10.7,-19.559960000000004,-71.17212399999997
